epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3329.56,1.87244,2.03231,0.99845,0.38439,0.68754,0.41573,0.19429,1.49765,15.0043,0.89583,0.0015941,0.0015941,0.0015941
43,3404,2.09061,1.8646,1.06844,0.41354,0.63787,0.43038,0.19165,1.47243,14.3562,0.87319,0.0015842,0.0015842,0.0015842
44,3477.78,1.92757,1.77092,1.03377,0.42624,0.65993,0.43906,0.20883,1.42671,11.5051,0.8665,0.0015743,0.0015743,0.0015743
45,3555.91,1.84766,1.69982,1.06317,0.41736,0.60572,0.41646,0.20561,1.40966,17.9104,0.86724,0.0015644,0.0015644,0.0015644
46,3630.83,1.87863,1.83304,1.01854,0.44428,0.66281,0.45757,0.22662,1.42744,7.58372,0.86639,0.0015545,0.0015545,0.0015545
47,3707.78,1.85092,1.72637,1.04198,0.40353,0.69118,0.43296,0.21198,1.381,7.33817,0.85334,0.0015446,0.0015446,0.0015446
48,3783.34,1.81469,1.62528,1.05575,0.40371,0.62684,0.41144,0.22035,1.31529,6.94195,0.84786,0.0015347,0.0015347,0.0015347
49,3859.2,1.8703,1.75331,1.04224,0.42088,0.59926,0.38948,0.19532,1.35936,6.80987,0.86035,0.0015248,0.0015248,0.0015248
50,3933.2,1.87655,1.71168,1.03456,0.41273,0.72863,0.44238,0.20328,1.36556,9.85703,0.83564,0.0015149,0.0015149,0.0015149
51,4006.82,1.81101,1.66612,1.00689,0.43469,0.66176,0.44097,0.22517,1.38373,7.85657,0.84403,0.001505,0.001505,0.001505
52,4082.17,1.78845,1.65997,1.01156,0.44165,0.70221,0.46225,0.21698,1.37016,6.17729,0.83009,0.0014951,0.0014951,0.0014951
53,4156.84,1.91865,1.64933,1.01901,0.41967,0.73346,0.45818,0.22041,1.3594,10.0718,0.82809,0.0014852,0.0014852,0.0014852
54,4232.07,1.88092,1.62244,0.9876,0.44186,0.70956,0.46118,0.22856,1.40263,8.15609,0.83603,0.0014753,0.0014753,0.0014753
55,4306.83,1.79995,1.48479,1.0258,0.43791,0.71691,0.46129,0.23659,1.3871,8.13501,0.84219,0.0014654,0.0014654,0.0014654
56,4381.83,1.84065,1.53735,0.97421,0.445,0.72221,0.47224,0.22966,1.45384,8.43531,0.85369,0.0014555,0.0014555,0.0014555
57,4455.37,1.78205,1.58797,1.03798,0.44168,0.72059,0.47246,0.23761,1.47908,7.81417,0.85619,0.0014456,0.0014456,0.0014456
58,4531.81,1.7183,1.54782,1.01591,0.45595,0.75,0.49112,0.26493,1.38134,6.95501,0.83897,0.0014357,0.0014357,0.0014357
59,4606.7,1.72768,1.47769,1.03058,0.44394,0.75184,0.48117,0.2642,1.32193,12.1348,0.82258,0.0014258,0.0014258,0.0014258
60,4682.78,1.77589,1.81984,1.08373,0.44366,0.7114,0.46272,0.2399,1.34342,6.94384,0.83306,0.0014159,0.0014159,0.0014159
61,4757.81,1.74106,1.51987,1.00211,0.44107,0.73529,0.48738,0.25474,1.29409,6.55528,0.82395,0.001406,0.001406,0.001406
62,4832.57,1.80254,1.41973,1.00012,0.44613,0.71507,0.48569,0.25016,1.34312,11.8382,0.83387,0.0013961,0.0013961,0.0013961
63,4908.15,1.82424,1.51114,1.04256,0.44024,0.71419,0.47649,0.25606,1.32242,7.96722,0.828,0.0013862,0.0013862,0.0013862
