epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1865.89,1.77613,1.0955,0.99917,0.83579,0.82721,0.86797,0.3966,1.73435,1.15017,1.01109,0.0015941,0.0015941,0.0015941
43,1933.73,1.78415,1.07921,0.98918,0.85648,0.82169,0.86909,0.41826,1.65057,1.08308,0.98172,0.0015842,0.0015842,0.0015842
44,1964.84,1.71976,1.03722,0.99004,0.84857,0.81066,0.85985,0.43997,1.58049,1.06936,0.96917,0.0015743,0.0015743,0.0015743
45,2035.97,1.65107,1.00565,0.98795,0.86607,0.80147,0.86121,0.41468,1.63365,1.05257,0.9786,0.0015644,0.0015644,0.0015644
46,2106.19,1.61834,0.96295,0.97027,0.8587,0.7886,0.85877,0.40469,1.62317,1.06733,0.97781,0.0015545,0.0015545,0.0015545
47,2177.01,1.80574,1.06166,0.94902,0.86365,0.78676,0.86307,0.43606,1.54561,1.03822,0.96316,0.0015446,0.0015446,0.0015446
48,2248.34,1.6493,1.00521,0.99851,0.84234,0.77586,0.85177,0.42475,1.63378,1.00916,0.97397,0.0015347,0.0015347,0.0015347
49,2318.75,1.72082,1.0214,0.99483,0.82553,0.8002,0.84826,0.43198,1.60217,1.00737,0.97298,0.0015248,0.0015248,0.0015248
50,2377.7,1.69401,0.98892,0.97555,0.82556,0.80699,0.85547,0.42722,1.59638,1.00347,0.97972,0.0015149,0.0015149,0.0015149
51,2400.89,1.67251,0.97504,0.96565,0.83001,0.82578,0.86308,0.41737,1.61168,1.03435,0.98252,0.001505,0.001505,0.001505
52,2474.5,1.6994,0.98765,0.9608,0.8567,0.81618,0.86601,0.45525,1.54339,1.00242,0.9609,0.0014951,0.0014951,0.0014951
53,2544.53,1.80372,1.04151,0.98247,0.85251,0.81618,0.866,0.4643,1.52419,0.93445,0.95386,0.0014852,0.0014852,0.0014852
